bank_name,card_name,annual_fee,renewal_fee,is_lifetime_free,best_use_case,other_cashback,lounge_access,fuel_benefits,travel_benefits,income_requirement,joining_offer,fee_waiver_condition,official_website,notes
HDFC,MoneyBack+,500,500,No,shopping,2% online / 1% offline,No,1% surcharge waiver,No,"?25,000/month",-,"Spend ?50,000/year to waive renewal fee",https://www.hdfcbank.com/personal/pay/cards/credit-cards/moneyback-plus-credit-card,Best beginner shopping card
HDFC,Millennia,1000,1000,No,online shopping,5% on Amazon/Flipkart/PayZapp,Yes,1% surcharge waiver,Yes,"?35,000/month",-,"Spend ?1,00,000/year to waive renewal fee",https://www.hdfcbank.com/personal/pay/cards/credit-cards/hdfc-bank-millennia-credit-card,Good for heavy online shoppers
HDFC,Regalia,2500,2500,No,premium travel,2% general cashback,Yes,1% surcharge waiver,Yes,"?70,000/month",Welcome vouchers,"Spend ?3,00,000/year to waive renewal fee",https://www.hdfcbank.com/personal/pay/cards/credit-cards/regalia-credit-card,Most popular premium travel card
HDFC,Diners Club Privilege,2500,2500,No,premium travel,2% reward equivalent cashback,Yes,1% surcharge waiver,Yes,"?60,000/month",Welcome vouchers,"Spend ?3,00,000/year to waive renewal fee",https://www.hdfcbank.com/personal/pay/cards/credit-cards/diners-club-privilege-credit-card,Excellent for lounge access
HDFC,Diners Club Black,10000,10000,No,super-premium travel,3% general cashback,Yes,1% surcharge waiver,Yes,"?1,75,000/month",Premium welcome vouchers,"Spend ?5,00,000/year to waive renewal fee",https://www.hdfcbank.com/personal/pay/cards/credit-cards/diners-club-black-credit-card,Super premium with unlimited lounge
HDFC,Infinia Metal,12500,12500,No,ultra-premium,3% general cashback,Yes,1% surcharge waiver,Yes,High-income customers only,Premium welcome offers,Invitation only,https://www.hdfcbank.com/personal/pay/cards/credit-cards/infinia-metal,Invitation-only card
HDFC,Freedom,500,500,No,bill payments,2% cashback on bill payments,No,1% surcharge waiver,No,"?20,000/month",Welcome bonus,"Spend ?50,000/year to waive renewal fee",https://www.hdfcbank.com/personal/pay/cards/credit-cards/freedom-credit-card,Good beginner card
HDFC,Titanium Times,500,500,No,movies,2% cashback on dining/movies,No,1% surcharge waiver,No,"?20,000/month",-,"Spend ?50,000/year to waive renewal fee",https://www.hdfcbank.com,Movie & dining card
HDFC,Platinum Times,1000,1000,No,movies,3% cashback on dining/movies,No,1% surcharge waiver,No,"?30,000/month",-,"Spend ?1,00,000/year to waive renewal fee",https://www.hdfcbank.com,Better movie benefits
HDFC,Bharat Cashback,500,500,No,groceries,5% cashback on Bharat spends,No,1% surcharge waiver,No,"?15,000/month",-,"Spend ?50,000/year to waive renewal fee",https://www.hdfcbank.com,Best for daily groceries
HDFC,Paytm Card,0,0,Yes,payments,2% on Paytm app,No,1% surcharge waiver,No,"?15,000/month",Paytm vouchers,Lifetime Free,https://www.hdfcbank.com,Good for Paytm users
HDFC,Swiggy HDFC Card,500,500,No,food delivery,10% on Swiggy / 5% other online,No,1% surcharge waiver,No,"?20,000/month",Swiggy vouchers,"Spend ?30,000 in 90 days",https://www.swiggy.com,Best for Swiggy users
HDFC,IRCTC Credit Card,500,500,No,rail travel,Up to 5% on IRCTC,No,1% surcharge waiver,Yes,"?15,000/month",IRCTC welcome offers,"Spend ?50,000/year",https://www.hdfcbank.com,Great for train travellers
HDFC,Shoppers Stop,500,500,No,fashion,5% cashback at Shoppers Stop,No,1% surcharge waiver,No,"?20,000/month",Shopping vouchers,"Spend ?50,000/year",https://www.hdfcbank.com,For fashion lovers
HDFC,Tata Neu Plus,499,499,No,tata products,5% on Tata Neu,No,1% surcharge waiver,No,"?25,000/month",NeuCoins,"Spend ?1,00,000/year",https://www.hdfcbank.com,Great for Tata ecosystem
HDFC,Tata Neu Infinity,1499,1499,No,premium tata products,10% on Tata brands,Yes,1% surcharge waiver,Yes,"?50,000/month",NeuCoins,"Spend ?2,00,000/year",https://www.hdfcbank.com,Premium Tata card
ICICI,Amazon Pay,0,0,Yes,amazon shopping,1% on all offline/online,No,1% fuel surcharge waiver,No,"?15,000/month",Amazon vouchers,Lifetime Free,https://www.icicibank.com/credit-card/amazon-pay,Best free card for Amazon users
